Categories|Dir|Name|NameReg|Srt|Num
anime|白箱|白箱|[CASO][SHIROBAKO][${num}][GB][720p][rev].mp4|N|24
anime|星期一|星期一|[VCB-Studio] Getsuyoubi no Tawawa [${num}][Ma10p_1080p][x265_flac].mkv|Y|14
anime|赛马娘/[LoliHouse] Uma Musume Pretty Derby [WebRip 1080p HEVC-10bit AAC]|赛马娘1|[LoliHouse] Uma Musume Pretty Derby - ${num} [WebRip 1080p HEVC-yuv420p10 AAC].mkv|N|13
anime|赛马娘/[DHR][Uma Musume Extra][01-03][BDRip][BIG5][1080P][HEVC_AAC][MP4]|赛马娘Ext|[DHR][Uma Musume Extra][${num}][BIG5][BDRip][1080P][HEVC_P10_AAC].mp4|N|3
anime|赛马娘/[Nekomoe kissaten] Umayon [WebRip]|赛马娘小剧场|[Nekomoe kissaten] Umayon ${num} [WebRip 1080p HEVC-10bit AAC].mkv|Y|12
anime|赛马娘/[FLsnow][umamusumeS2][1080p]|赛马娘2|[FLsnow][umamusumeS2][${num}][AVC_AAC][WEBRIP][1080p].mp4|Y|13
anime|物语系列/02.伪物语|物语系列 02.伪物语|[SAIO-Raws] Nisemonogatari ${num} [BD 1920x1080 HEVC-10bit OPUSx2 ASSx4].mkv|N|11
anime|本田小狼与我|本田小狼与我|[SweetSub&LoliHouse] Super Cub - ${num} [WebRip 1080p HEVC-10bit AAC ASSx2].mkv|N|12
anime|小林家的龙女仆S|小林家的龙女仆S|[Sakurato] Kobayashi-san Chi no Maidragon S [${num}][AVC-8bit 1080p AAC][CHS].mp4|N|6
film|Animation|Test|test.mkv|N|0
mv|mmd|Nostromo - Sky_Sanctuary|Nostromo_-_Sky_Sanctuary_1080p@60_8b.mp4|N|0
mv|mmd|初音-BoomClap|初音-BoomClap 2.0【2K_60fps】.mp4|N|0
mv|music|Bad Apple!!|Alstroemeria Records - Bad Apple!!.mp4|N|0
mv|music|極楽浄土|GARNiDELiA - 極楽浄土.mp4|N|0
